epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.61345,1.00516,1.55561,1.03642,0.9834,0.92728,0.98071,0.4858,1.77542,1.47481,1.72096,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432,0.00034296,0.00011432
2,3.40106,0.95388,1.39659,1.00826,0.97698,0.92623,0.9815,0.46719,1.85106,1.40906,1.76864,0.000721575,0.000240525,0.000721575,0.000240525,0.000721575,0.000240525,0.000721575,0.000240525
3,4.09561,0.93777,1.2967,0.95433,0.97356,0.92454,0.9815,0.47035,1.88096,1.41067,1.78652,0.00109255,0.000364184,0.00109255,0.000364184,0.00109255,0.000364184,0.00109255,0.000364184
4,4.86711,0.82659,1.39448,0.93791,0.97406,0.91942,0.98237,0.42073,1.87099,1.42262,1.80088,0.00145589,0.000485296,0.00145589,0.000485296,0.00145589,0.000485296,0.00145589,0.000485296
5,5.51597,0.85508,1.25119,0.97617,0.97823,0.91969,0.98071,0.42125,1.84485,1.46269,1.77296,0.00181158,0.000603861,0.00181158,0.000603861,0.00181158,0.000603861,0.00181158,0.000603861
6,6.16026,0.84746,1.24488,0.9542,0.79262,0.79723,0.75485,0.40854,1.92962,1.36311,1.88132,0.00215964,0.00071988,0.00215964,0.00071988,0.00215964,0.00071988,0.00215964,0.00071988
7,6.80432,0.9463,1.3208,0.98038,0.79135,0.79727,0.75639,0.39437,1.99583,1.38751,1.94862,0.00250006,0.000833353,0.00250006,0.000833353,0.00250006,0.000833353,0.00250006,0.000833353
8,7.45088,0.87769,1.23269,0.96977,0.80893,0.77774,0.74369,0.38654,1.98761,1.45212,1.96639,0.00283284,0.000944279,0.00283284,0.000944279,0.00283284,0.000944279,0.00283284,0.000944279
9,8.04583,0.79098,1.23634,0.9427,0.79284,0.79343,0.74078,0.39509,1.93554,1.49875,1.93415,0.00315798,0.00105266,0.00315798,0.00105266,0.00315798,0.00105266,0.00315798,0.00105266
10,8.63939,0.89592,1.39549,0.95446,0.80015,0.79658,0.74282,0.39686,1.94459,1.5143,1.92065,0.00347548,0.00115849,0.00347548,0.00115849,0.00347548,0.00115849,0.00347548,0.00115849
11,9.28313,0.85751,1.21343,0.96086,0.98603,0.96229,0.98441,0.41694,1.90372,1.36767,1.85317,0.00378534,0.00126178,0.00378534,0.00126178,0.00378534,0.00126178,0.00378534,0.00126178
12,9.87359,0.75244,1.23857,0.94957,0.9869,0.9697,0.98333,0.3952,1.97242,1.31811,1.89882,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,10.4635,0.75265,1.23596,0.95014,0.98292,0.9697,0.98333,0.38714,2.01926,1.317,1.93968,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,11.0545,0.8517,1.20674,0.91543,0.80865,0.79749,0.7374,0.34816,2.05638,1.39885,1.9573,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,11.7368,0.84885,1.29948,0.99572,0.80138,0.79704,0.7406,0.36109,2.02402,1.45829,1.91677,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,12.3301,0.82721,1.24633,0.96404,0.81468,0.77273,0.73737,0.37445,2.01942,1.40007,1.92187,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,12.9199,0.90296,1.27451,0.987,0.82198,0.77273,0.74023,0.38318,1.99486,1.43099,1.89588,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,13.4682,0.88176,1.24733,0.95167,0.82187,0.77273,0.74362,0.38069,1.98943,1.41923,1.89947,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,14.1065,0.87673,1.27649,0.97136,0.98017,0.93905,0.97964,0.38309,2.04509,1.42341,1.94476,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,14.6936,0.96963,1.34106,0.98785,0.97652,0.94321,0.9815,0.37774,2.03673,1.40437,1.94453,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,15.2821,0.89483,1.31327,0.95542,0.97455,0.94693,0.98333,0.38954,2.03061,1.33602,2.00238,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,15.8758,0.88682,1.21758,0.94221,0.9649,0.96351,0.98333,0.38664,1.99268,1.30613,1.96213,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,16.4678,0.94509,1.30197,0.97149,0.96888,0.9697,0.98563,0.39504,1.97435,1.21691,1.92833,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,17.0579,0.90316,1.21082,0.93825,0.97028,0.9697,0.98441,0.40075,1.97019,1.17352,1.92077,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,17.6499,0.90411,1.23967,0.97673,0.97021,0.9697,0.98333,0.38869,1.98944,1.15578,1.93486,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,18.2423,0.90157,1.26203,0.98726,0.97735,0.9697,0.9815,0.38207,1.99343,1.20186,1.93176,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,18.9669,0.87968,1.17295,0.97549,0.98642,0.9697,0.98857,0.39711,1.996,1.20982,1.97596,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,19.5582,0.89448,1.17183,0.95446,0.81214,0.80303,0.7539,0.3865,2.00861,1.2279,2.02624,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,20.1481,0.89832,1.14581,0.94805,0.81621,0.80303,0.74291,0.38076,2.03621,1.19652,2.09664,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,20.7382,0.85759,1.2209,0.94382,0.82063,0.80303,0.74525,0.38843,2.02777,1.19605,2.10504,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,21.3303,0.81079,1.15982,0.95007,0.82127,0.80303,0.74508,0.40091,2.01342,1.24097,2.1095,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,21.9222,0.82711,1.25262,0.96986,0.82265,0.80303,0.73788,0.41077,2.0092,1.22464,2.16649,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,22.512,0.95802,1.24784,0.99297,0.82105,0.80303,0.74626,0.39576,2.03043,1.1761,2.2565,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,23.1022,0.88094,1.19617,0.97605,0.82014,0.80303,0.73988,0.37294,2.06874,1.25684,2.22707,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,23.7415,0.8044,1.06466,0.94265,0.8184,0.80303,0.73131,0.36422,2.08259,1.3322,2.27681,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,24.3325,0.82375,1.12154,0.93557,0.81777,0.80303,0.7463,0.35514,2.10719,1.34876,2.29388,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,24.923,0.87705,1.13717,0.96139,0.81767,0.80303,0.74634,0.35752,2.09827,1.37676,2.28809,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
