epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.78477,2.57651,5.70788,2.45484,0,0,0,0,2.90737,4.62804,2.62084,0.00045,0.00015,0.00045,0.00015,0.00045,0.00015,0.00045,0.00015
2,3.78862,2.56815,5.4135,2.30799,0,0,0,0,2.67577,4.64666,2.37289,0.000935644,0.000311881,0.000935644,0.000311881,0.000935644,0.000311881,0.000935644,0.000311881
3,4.69952,2.36856,5.29383,2.18477,0.00021,0.03333,0.00012,1e-05,2.38773,4.488,2.07306,0.00141936,0.000473119,0.00141936,0.000473119,0.00141936,0.000473119,0.00141936,0.000473119
4,5.56071,2.0484,5.09303,1.84231,0,0,0,0,2.31154,4.36258,1.90392,0.00190114,0.000633713,0.00190114,0.000633713,0.00190114,0.000633713,0.00190114,0.000633713
5,6.41271,1.9047,4.9796,1.67951,0,0,0,0,2.17844,4.27164,1.83092,0.00238099,0.000793664,0.00238099,0.000793664,0.00238099,0.000793664,0.00238099,0.000793664
6,7.21625,1.69349,4.75509,1.44539,0,0,0,0,1.99988,4.24068,1.6777,0.00285891,0.000952971,0.00285891,0.000952971,0.00285891,0.000952971,0.00285891,0.000952971
7,8.02308,1.74469,4.66995,1.46868,0.00021,0.03333,0.00016,3e-05,1.79383,4.09184,1.46189,0.0033349,0.00111163,0.0033349,0.00111163,0.0033349,0.00111163,0.0033349,0.00111163
8,8.80274,1.56747,4.33661,1.32397,0.00065,0.1,0.00507,0.00067,1.77479,4.02403,1.4168,0.00369802,0.00123268,0.00369802,0.00123268,0.00369802,0.00123268,0.00369802,0.00123268
9,9.62897,1.63968,4.31745,1.35215,0.00198,0.34697,0.16127,0.12527,1.69067,3.82594,1.3402,0.0036906,0.0012302,0.0036906,0.0012302,0.0036906,0.0012302,0.0036906,0.0012302
10,10.4083,1.53736,4.04041,1.25629,0.00245,0.41364,0.24623,0.18493,1.65883,3.73719,1.30241,0.00368317,0.00122773,0.00368317,0.00122773,0.00368317,0.00122773,0.00368317,0.00122773
11,11.2822,1.58824,3.88875,1.25022,0.94931,0.1871,0.31762,0.23189,1.5674,3.45659,1.27323,0.00367575,0.00122525,0.00367575,0.00122525,0.00367575,0.00122525,0.00367575,0.00122525
12,12.1092,1.51645,3.67089,1.22785,0.95643,0.3,0.37921,0.24752,1.56038,3.02112,1.25993,0.00366832,0.00122277,0.00366832,0.00122277,0.00366832,0.00122277,0.00366832,0.00122277
13,12.8963,1.44587,3.18647,1.1853,0.96121,0.3,0.42262,0.26585,1.56894,2.84167,1.21325,0.0036609,0.0012203,0.0036609,0.0012203,0.0036609,0.0012203,0.0036609,0.0012203
14,13.7229,1.42077,2.94619,1.19161,0.96758,0.33333,0.48191,0.27902,1.50979,3.07533,1.16557,0.00365347,0.00121783,0.00365347,0.00121783,0.00365347,0.00121783,0.00365347,0.00121783
15,14.5476,1.41619,2.65764,1.19275,0.93986,0.45455,0.50861,0.3123,1.48194,2.94863,1.16706,0.00364605,0.00121535,0.00364605,0.00121535,0.00364605,0.00121535,0.00364605,0.00121535
16,15.325,1.30186,2.50072,1.13625,0.93997,0.45455,0.51231,0.31091,1.4753,2.72787,1.17773,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
17,16.1452,1.29429,2.23606,1.15022,0.92317,0.47856,0.51416,0.32842,1.45377,2.4894,1.14469,0.0036312,0.0012104,0.0036312,0.0012104,0.0036312,0.0012104,0.0036312,0.0012104
18,16.9394,1.30042,2.103,1.13655,0.93879,0.48485,0.51922,0.35114,1.44971,2.46483,1.13156,0.00362377,0.00120793,0.00362377,0.00120793,0.00362377,0.00120793,0.00362377,0.00120793
19,17.7905,1.35835,2.2706,1.11658,0.94155,0.50978,0.54121,0.35768,1.51137,2.38254,1.13736,0.00361635,0.00120545,0.00361635,0.00120545,0.00361635,0.00120545,0.00361635,0.00120545
