epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.3153,0.99844,6.25653,0.0079,0.00241,0.87838,0.02599,0.01755,0.61862,7.43965,0.00657,0.00144,0.00048,0.00144,0.00048,0.00144,0.00048,0.00144,0.00048
2,51.8608,0.99898,6.12775,0.00719,0.00259,0.94595,0.09164,0.07072,0.57373,7.16799,0.00608,0.00291089,0.000970298,0.00291089,0.000970298,0.00291089,0.000970298,0.00291089,0.000970298
3,74.855,0.95126,5.35824,0.00638,0.00267,0.97297,0.158,0.13979,0.58312,6.71785,0.00648,0.00435209,0.0014507,0.00435209,0.0014507,0.00435209,0.0014507,0.00435209,0.0014507
4,97.5072,0.92873,4.5482,0.00705,0.663,0.47297,0.52028,0.43481,0.6023,5.44528,0.0064,0.00576358,0.00192119,0.00576358,0.00192119,0.00576358,0.00192119,0.00576358,0.00192119
5,120.502,0.98936,4.05544,0.00649,0.62844,0.54054,0.61014,0.49588,0.70082,4.32567,0.00758,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,142.937,1.00311,3.25203,0.00666,0.75274,0.53488,0.68201,0.55818,0.63016,3.39365,0.00718,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,165.251,0.97349,2.67548,0.00716,0.80223,0.56757,0.71302,0.60861,0.60127,2.7249,0.00688,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,187.819,0.94864,2.42965,0.00699,0.74667,0.63729,0.7889,0.68546,0.6144,2.17367,0.00704,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,210.306,0.88927,2.20012,0.00666,0.68027,0.7973,0.80948,0.67373,0.6311,2.0053,0.00694,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,233.845,0.90847,1.97073,0.00666,0.89581,0.58108,0.81165,0.694,0.62093,1.75742,0.00696,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,257.267,0.94239,1.74391,0.00629,0.73154,0.72973,0.82675,0.70289,0.61455,1.63185,0.00729,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,280.139,0.83359,1.5867,0.00619,0.75878,0.81081,0.85362,0.71991,0.62282,1.31787,0.00719,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,302.414,0.93395,1.54478,0.00638,0.78712,0.81081,0.88313,0.73953,0.6268,1.23228,0.00703,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,325.17,0.85863,1.44632,0.00685,0.77623,0.84382,0.88592,0.75335,0.6212,1.11635,0.00723,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,348.591,1.00433,1.42801,0.00674,0.78177,0.81081,0.88118,0.75286,0.60663,1.09494,0.00718,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,372.096,0.88324,1.32192,0.00648,0.86383,0.68586,0.87251,0.71588,0.63814,1.09509,0.00728,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,394.914,0.93036,1.26029,0.00616,0.81567,0.83784,0.87945,0.74651,0.60118,0.95657,0.00704,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,417.363,0.92329,1.18823,0.00679,0.75559,0.86486,0.88212,0.73466,0.62179,0.95274,0.00696,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,439.928,0.86555,1.15586,0.00595,0.75487,0.87392,0.87568,0.72304,0.61454,0.94175,0.00679,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,463.213,0.87103,1.16808,0.00633,0.83705,0.7973,0.87726,0.73079,0.66254,0.89458,0.00744,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,485.89,0.94013,1.1068,0.00549,0.70586,0.91892,0.88409,0.74427,0.63845,0.83701,0.00753,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,508.658,0.92323,1.11237,0.00624,0.75774,0.86486,0.88556,0.73753,0.66531,0.81483,0.00754,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,530.965,0.85445,1.0539,0.006,0.71218,0.93243,0.85255,0.71196,0.6495,0.85466,0.00732,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,553.634,0.84083,0.96906,0.00614,0.90798,0.66673,0.86409,0.70274,0.69472,0.93473,0.00783,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,575.822,0.82369,1.00452,0.00591,0.88505,0.72973,0.86282,0.722,0.6397,0.85754,0.00777,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
